P 62.241.53.15:4242
P 62.241.53.16:4242
P 62.241.53.17:4242
P 62.241.53.2:4242
P 62.241.53.4:4242
P 80.190.233.144:6565
P 80.190.251.50:4321
P 80.239.200.101:3000
P 80.239.200.102:3000
P 80.239.200.103:3000
P 80.239.200.104:3000
P 80.239.200.105:3000
P 80.239.200.107:3000
P 80.239.200.108:3000
P 80.239.200.109:3000
P 80.239.200.110:3000
P 80.239.200.99:3000
P 81.169.143.167:7777
P 83.149.101.91:4321
P 83.149.102.1:4242
P 83.149.123.188:4321
P 83.149.123.189:4321
P 83.149.98.16:4242
P 84.133.123.155:4444
P 84.150.6.40:9955
P 84.161.58.53:9661
P 193.138.221.213:4242
P 193.138.221.214:4242
P 193.138.230.251:4242
P 194.213.0.10:3306
P 194.213.0.20:3306
P 194.213.0.30:3306
P 194.30.160.41:4661
P 194.30.160.81:4661
P 202.71.106.236:5000
P 212.112.238.82:4661
P 212.112.241.158:6565
P 212.112.243.146:4661
P 213.186.45.91:4661
P 213.186.47.84:4661
P 213.186.60.106:4661
P 213.251.133.129:6567
P 213.251.134.191:4661
P 213.251.136.83:4661
P 213.251.161.103:4661
P 213.251.161.152:4661
P 213.251.162.35:4661
P 217.20.127.165:4321
P 217.91.58.88:7000
#
# Keep these comments at the end
# Last updated 20th October, 2005
#

